anio_hecho,mes_hecho,fecha_hecho,hora_hecho,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,latitud,longitud,mes_numerico,hora,lat_anon,lon_anon
2024,Mayo,2024-05-03,10:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,CHIMALCOYOTL,Pueblo Chimalcoyotl,19.2728466498336,-99.1621537499999,5,10,19.273,-99.162
2024,Junio,2024-06-17,12:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TORIELLO GUERRA,Toriello Guerra,19.2960478898343,-99.1678286299999,6,12,19.296,-99.168
2024,Julio,2024-07-04,19:19:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,GRANJAS COAPA,Granjas Coapa,19.2991002598334,-99.1085042099999,7,19,19.299,-99.109
2024,Julio,2024-07-06,18:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL TOPILEJO,Pueblo San Miguel Topilejo,19.2012918298342,-99.13870119,7,18,19.201,-99.139
2024,Julio,2024-07-06,19:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 2A SECCIÓN,Miguel Hidalgo 2a Seccion,19.2831017498338,-99.1972491099999,7,19,19.283,-99.197
2024,Julio,2024-07-07,14:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,EX HACIENDA SAN JUAN DE DIOS,Ex Hacienda San Juan De Dios,19.2858176498338,-99.1317341499999,7,14,19.286,-99.132
2024,Julio,2024-07-05,23:20:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,CHICHICASPATL,Chichicaspatl,19.2744037498343,-99.2424590899999,7,23,19.274,-99.242
2024,Julio,2024-07-07,11:30:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,EL MIRADOR,El Mirador,19.2995973798341,-99.1080453199999,7,11,19.3,-99.108
2024,Julio,2024-07-07,16:45:00,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,BOSQUES DEL PEDREGAL,Bosques Del Pedregal,19.273302709834,-99.2400192799999,7,16,19.273,-99.24
2024,Julio,2024-07-07,01:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE VIOLENCIA FAMILIAR,CJM-TLP,2 SIN DETENIDO,CULTURA MAYA,Cuchilla De Padierna,19.2750794585543,-99.2205664411485,7,1,19.275,-99.221
2024,Julio,2024-07-06,03:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,PRADO COAPA 3A SECCIÓN,Villa Lazaro Cardenas,19.2956950598341,-99.1327718299999,7,3,19.296,-99.133
2024,Julio,2024-07-07,18:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TLALPAN CENTRO I,Tlalpan,19.2881507098342,-99.1682260899999,7,18,19.288,-99.168
2024,Junio,2024-06-16,21:27:00,DELITO DE BAJO IMPACTO,"FISCALÍA DE INVESTIGACIÓN DE DELITOS COMETIDOS EN AGRAVIO DE NIÑAS, NIÑOS Y ADOLESCENTES",59,UI-2CD,SAN PEDRO MÁRTIR,Pueblo San Pedro Martir,19.2672088700955,-99.1686267276821,6,21,19.267,-99.169
2024,Julio,2024-07-06,10:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DEL LAGO,Fuentes Del Pedregal,19.3096576898337,-99.2254416299998,7,10,19.31,-99.225
2024,Julio,2024-07-07,01:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,EQUIPAMIENTO FABRICA FISISA I,Vergel Del Sur,19.3001641098334,-99.1363231399999,7,1,19.3,-99.136
