fecha,servicio,dia,mes,anio,afluencia,mes_numerico
2022-02-08,Ecoatenea,8,Febrero,2022,3049,2
2022-02-08,Ecobús,8,Febrero,2022,33686,2
2022-02-08,Expdirecto,8,Febrero,2022,2754,2
2022-02-08,Expreso,8,Febrero,2022,130974,2
2022-02-08,Nochebús,8,Febrero,2022,563,2
2022-02-08,Ordinario,8,Febrero,2022,94502,2
2022-02-08,S/Metro,8,Febrero,2022,56436,2
2022-02-08,Servicios Temporales,8,Febrero,2022,1606,2
2022-02-09,Atenea,9,Febrero,2022,15024,2
2022-02-09,Ecoatenea,9,Febrero,2022,2675,2
2022-02-09,Ecobús,9,Febrero,2022,35664,2
2022-02-09,Expdirecto,9,Febrero,2022,2747,2
2022-02-09,Expreso,9,Febrero,2022,139148,2
2022-02-09,Nochebús,9,Febrero,2022,682,2
2022-02-09,Ordinario,9,Febrero,2022,96927,2
2022-02-09,S/Metro,9,Febrero,2022,59393,2
2022-02-09,Servicios Temporales,9,Febrero,2022,1484,2
2022-02-10,Atenea,10,Febrero,2022,14547,2
2022-02-10,Ecoatenea,10,Febrero,2022,2543,2
2022-02-10,Ecobús,10,Febrero,2022,33833,2
2022-02-10,Expdirecto,10,Febrero,2022,2754,2
2022-02-10,Expreso,10,Febrero,2022,137760,2
2022-02-10,Nochebús,10,Febrero,2022,787,2
2022-02-10,Ordinario,10,Febrero,2022,94217,2
2022-02-10,S/Metro,10,Febrero,2022,60437,2
2022-02-10,Servicios Temporales,10,Febrero,2022,1605,2
2022-02-11,Atenea,11,Febrero,2022,15364,2
2022-02-11,Ecoatenea,11,Febrero,2022,2365,2
2022-02-11,Ecobús,11,Febrero,2022,36556,2
2022-02-11,Expdirecto,11,Febrero,2022,2626,2
2022-02-11,Expreso,11,Febrero,2022,139082,2
2022-02-11,Nochebús,11,Febrero,2022,886,2
2022-02-11,Ordinario,11,Febrero,2022,96151,2
2022-02-11,S/Metro,11,Febrero,2022,57239,2
2022-02-11,Servicios Temporales,11,Febrero,2022,1528,2
2022-02-12,Atenea,12,Febrero,2022,4094,2
2022-02-12,Ecoatenea,12,Febrero,2022,1504,2
2022-02-12,Ecobús,12,Febrero,2022,24693,2
2022-02-12,Expdirecto,12,Febrero,2022,657,2
2022-02-12,Expreso,12,Febrero,2022,86334,2
2022-02-12,Nochebús,12,Febrero,2022,1237,2
2022-02-12,Ordinario,12,Febrero,2022,61444,2
2022-02-12,S/Metro,12,Febrero,2022,46922,2
2022-02-12,Servicios Temporales,12,Febrero,2022,957,2
2022-02-13,Atenea,13,Febrero,2022,3154,2
2022-02-13,Ecoatenea,13,Febrero,2022,669,2
2022-02-13,Ecobús,13,Febrero,2022,15756,2
2022-02-13,Expreso,13,Febrero,2022,64539,2
2022-02-13,Nochebús,13,Febrero,2022,790,2
2022-02-13,Ordinario,13,Febrero,2022,42661,2
2022-02-13,S/Metro,13,Febrero,2022,27389,2
2022-02-13,Servicios Temporales,13,Febrero,2022,464,2
2022-02-14,Atenea,14,Febrero,2022,16115,2
2022-02-14,Ecoatenea,14,Febrero,2022,2309,2
2022-02-14,Ecobús,14,Febrero,2022,32559,2
2022-02-14,Expdirecto,14,Febrero,2022,2810,2
2022-02-14,Expreso,14,Febrero,2022,142248,2
2022-02-14,Nochebús,14,Febrero,2022,572,2
2022-02-14,Ordinario,14,Febrero,2022,92726,2
2022-02-14,S/Metro,14,Febrero,2022,59250,2
2022-02-14,Servicios Temporales,14,Febrero,2022,1626,2
2022-02-15,Atenea,15,Febrero,2022,18619,2
2022-02-15,Ecoatenea,15,Febrero,2022,3483,2
2022-02-15,Ecobús,15,Febrero,2022,31615,2
2022-02-15,Expdirecto,15,Febrero,2022,2869,2
2022-02-15,Expreso,15,Febrero,2022,138063,2
2022-02-15,Nochebús,15,Febrero,2022,847,2
2022-02-15,Ordinario,15,Febrero,2022,96930,2
2022-02-15,S/Metro,15,Febrero,2022,64000,2
2022-02-15,Servicios Temporales,15,Febrero,2022,1729,2
2022-02-16,Atenea,16,Febrero,2022,17149,2
2022-02-16,Ecoatenea,16,Febrero,2022,4702,2
